id,timestamp,lat,lng,employees,stores
Acme New York,2023-01-01,40.7128,-74.006,1250,4
Acme Boston,2023-04-01,42.3601,-71.0589,120,1
Acme Chicago,2023-07-01,41.8781,-87.6298,240,2
Acme Atlanta,2023-10-01,33.749,-84.388,180,1
Acme Dallas,2024-01-01,32.7767,-96.797,320,3
Acme Denver,2024-04-01,39.7392,-104.9903,150,1
Acme Phoenix,2024-07-01,33.4484,-112.074,200,2
Acme Los Angeles,2024-10-01,34.0522,-118.2437,410,4
Acme New York,2024-10-01,40.7128,-74.006,1605,6
Acme Chicago,2024-10-01,41.8781,-87.6298,870,5
